№,Наименование организации,,ИНН,Юридический адрес,Ф.И.О. руководителя,Контакты,Основной вид деятельности (ОКЕД),код ОКЕД,№ лицензии,Дата выдачи лицензии,срок действии лицензии,Вид лицензируемой деятельности,№ лицензионного соглашения,Дата лицензионного соглашения,Наименование лицензируемых работ,Причина переоформления или отзыва  лицензии,Форма собственности,Область,Район,Населенный пункт
616,KELAJAK  NUR QURILISH SERVIS,МЧЖ,301164412,"100128.Тошкент шаҳар Шайхонтохур,1А",Камолов Бахтиёр 998909962879,+998742610600,,,,,,,,,,,,,,Тошкент шаҳар
617,TEX SINOV INSHOOT,МЧЖ,301471403,"Андижон вилоят Андижон шаҳар Фитрат кщчаси, 7",Д.Мадаминов ,+998742610600 ,,,,,,,,,,,,Андижон,,Андижон шаҳар
618,ODINA PROJEKT,МЧЖ,301479336,"110821 Тошкент вилоят Янгийўл туман, Самарқанд,174",Шермухаммедов Икромжон ,277-04-29 70-604-68-33,,,,,,,,,,,,Тошкент,Янгийўл,Янгийўл шахри
619,ELEKTROGAZ,АЖ,200799242,Тошкент шаҳар Южная промзона,Б.О. Орзикулов Салим,25770-15 258-92-01 ф. www.elektrogaz.uz 331-72-78 ,,,,,,,,,,,,,,Тошкент шаҳар
620,ALOQAINVEST QURILSH,МЧЖ,205316704,100000.Тошкент шаҳар А.Темур Ц-1-25,Ахунов С,"150-01-13, 150-01-12",,,,,,,,,,,,,,Тошкент шаҳар
621,Каракалпакское дочерное предприятие института UzGIP,МЧЖ,201072539,230100. Қорақолпағистон Республикаси Нукус шахри. Арухан кўчаси.12 уй,М.Заратдинов ,222-98-96 222-01-20,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шахри
622,O’ZBEKISTON-METALLURGIYA KOMBINATI,очиқ акциядорлик жамияти,200460222,"Тошкент вилоят Бекобод шаҳри Ш.Айтметов,1",А.Нуриддинов ,912-24-23,,,,,,,,,,,,Тошкент,Бекобод,Бекобод шаҳар 
623,TIAN ZHENG INDUSTRY,МЧЖ,301554575,100117. Тошкент шахар. чилонзор мавзеси.  20 даха. 19/3-уй ,Вей Минг,232-18-01,,,,,,,,,,,,,Чилонзор,Тошкент шаҳар
624,SHARQ JAHON TEXNO,МЧЖ,302149365,"Тошкент шаҳар Яккасарой туман, Ш.Руставели,53б",Хикматулло ,598-89-53,,,,,,,,,,,,,Яккасарой,Тошкент шаҳар
625,UI ENGINEERING ARCH,МЧЖ,207079721,"Тошкент шаҳри, Юнусобод тумани, Бодомзор кўчаси, 33",Турлибеков Талгат Маратович Ибатов У.И.Усмон ака  ," 237-61-21, +99895 177-77-65, 312-31-31",,,,,,,,,,,,,Юнусобод,Тошкент шаҳар
626, MENZULA TASVIR SERVIS,МЧЖ,301707114,"140047. Самарқанд вилоят Самарқанд шаҳар Лолазор,70",Собиров Пиримкул  Гл.инженер Ишанкулов Толиб  ,"99894183-97-75, 99898 273-84-72",,,,,,,,,,,,Самарқанд,,Самарқанд
627,"GULISTON-LOYIHA, ENERGO STATUS","ХК,  МЧЖ",301581194,"120100. Сирдарё вилоят Гулистон шаҳар Аллея героев,1",Бобур .Исроилов ,225-45-77 98-560-99-90,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар 
628,ТАШНЕФТГАЗҚУРИЛИШЛОЙИҲА,МЧЖ,301476775,"Қашқадарё вилоят Қарши шаҳар А.Темур,74",Хаким Хаккулович Мирзаев ,+99898 275-87-47,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
629,TOSHSHAHARNUR,ДУК,202468390,"Тошкент шаҳар Сергели туман С.Толипов,3",Толипов Собитжон  Наримон ака   Тургун ,"250-57-57, 426-38-49, 428-09-00",,,,,,,,,,,,,Сергели,Тошкент шаҳар
630,INTEGRA GROUР UZ,МЧЖ,205652596,"100070.Тошкент шаҳар Бобур кўчаси,73 ",Магдиев Ю ,150-56-06,,,,,,,,,,,,,,Тошкент шаҳар
631,“UZNEFTGAZQAZIBCHIQARISH” акциядорлик компанияси таркибидаги  “MUBORAKNEFTGAZ” унитар  ,шуъба корхона,200697662,"Қашқадарё вилоят Муборак шаҳар. Занжирсарой,1",Товбаев У.М. ,8-375-67-23110,,,,,,,,,,,,Қашқадарё,,Муборак шаҳар
632,XORAZM TA’MIR LOYIHA,МЧЖ,301789496,"Хоразм вилоят Урганч шаҳар Гурлан,40",М. Балтабаев ,528-07-47,,,,,,,,,,,,Хоразм,,Урганч шаҳар
633,NASAF GAZ SERVIS LOYIHA,МЧЖ,301693539,"Қашқадарё вилоят Қарши шаҳар Насаф,15/1",Мурод Тулаев ,"+998753199131, +998753510404",,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
634,O’ZELEKTROAPPARAT-ELECTROSHIELD,АЖ,201052167," Толимаржон кўчаси, 1 уй",В.Роюк ,"291-77-07, 291-36-95",,,,,,,,,,,,,,Тошкент шахри
635,ГЛАВНАЯ ДИСПЕТЧЕРСКАЯ СЛУЖБА АППАРАТА ХОКИМА,,201053427,"Тошкент шаҳар Глинка,25",Турсинов А.Ю. ,443-57-73,,,,,,,,,,,,,,Тошкент шаҳар
636,ORGRES, акциядорлик жамияти,200797522,"100096. Тошкент шаҳар Муқими,190",Р. Умиров Хаким ака," 278-95-90, 720-11-65",,,,,,,,,,,,,,Тошкент шаҳар
637,NAVOIY ARXSTROY PROEKT, МЧЖ,302038528,"200100. Бухоро вилоят Бухоро шаҳар И. Муминова,33,6",Рахматов Нодир ,"65-223-11-56, 65-733-13-33",,,,,,,,,,,,Бухоро,,Бухоро шаҳар
638,AVTOMOBIL YO”LLARI ILMIY-TADQIQOT INSTITUTI,ДК,205340218,"100167. Тошкент шаҳар Локомотив,10",Зияев Ойбек ,293-49-31 293-54-70,,,,,,,,,,,,,,Тошкент шаҳар
639,TURIN INVEST ENGINEERING,МЧЖ,301884394,"100095. Тошкент шаҳар Кичик халқа йўли, 17",К. А. Шарипов Шухрат Пулатов ,"246-70-82, 528-07-76 ",,,,,,,,,,,,,,Тошкент шаҳар
640,GAZ LOYIHA UNIVERSAL,МЧЖ,301932224,"200100. Бухоро вилоят Бухоро шаҳар, А.Ғиждувоний, 25",Фозилжон. Сатторов ,65-309-27-50,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
641,QIBRAY LOYIHA SERVIS, МЧЖ,302040337,"Тошкент вилоят Қибрай  туман Ойбек,10",Одилжон Тоджибаев ,97-403-40-46,,,,,,,,,,,,Тошкент вилоят,,Қибрай  туман
642,BUXORO-NUSRAT SERVIS,МЧЖ,206606564,"Бухоро вилоят, Бухоро шаҳар С.Айний,3А",Толмас Шоев ,223-36-18 65-190-72-50,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
643,KOVCHEG-ART,МЧЖ,301983446,"100016. Тошкент шаҳар Авиасозлар,9А",Хаценко Олег ,701-30-70,,,,,,,,,,,,,,Тошкент шаҳар
644,Agromeliomaslahat, МЧЖ,204233263,"180104. Қашқадарё вилоят Қарши Туман, Ягибоғ посёлкаси",Рустам Холмурадов ,244-37-39,,,,,,,,,,,,Қашқадарё,Қарши Туман,Ягибоғ посёлкаси
645,ROSHIDON ALANGA,ХК,302061255,"Фарғона вилоят Риштон туман М. Топиволдиев,40",Газиев Илхом,73-714-66-29,,,,,,,,,,,,Фарғона вилоят,Риштон туман,
646,TERMIZ UNIVERSAL YO’L LOYIHA,МЧЖ,302175263,"Сурхондарё вилоят Термиз шаҳар Тарққиёт,42",Хужамурод Қурбонов ,243-34-30 91-904-48-04,,,,,,,,,,,,Сурхондарё,,Термиз шаҳар
647,ХАНКАПРОМСТРОЙТЕХНИКА,МЧЖ,300416612,"Хоразм вилоят Урганч шаҳар Тошхоуз,100",Мадрахимов Хаджи ,+998977071045,,,,,,,,,,,,Хоразм,,Урганч шаҳар
648,FER-TIPDOK,МЧЖ,302110669,"Фарғона вилоят Фарғона шаҳар А.Қодирий,19/17",Гадоев Пайроп,73-740-77-60,,,,,,,,,,,,Фарғона вилоят ,,Фарғона шаҳар
649,MIR-ZIYO SU, МЧЖ,202294886,"Тошкент шаҳар Қорасарой,325","Зияев Абдумалик, Идоятов Зокиржон", 97-156-75-38  90-185-66-17,,,,,,,,,,,,,,Тошкент шаҳар
650,O’ZB.RESP. DAVLAT ARHITEKTURA VA QURILISH QUMITASI QOSHIDAGI QURILISHDA STANDARTLASHTIRISH VA SERTIFIKATLASH RESPUBLIKA MARKAZI,ДК,204784647,"100011. Тошкент шаҳар Абай,6",Сайидислом Ходжаев ,244-96-21 244-51-84,,,,,,,,,,,,,,Тошкент шаҳар
651,BARTEC ENGINEERING,МЧЖ,206952641,"100097, Тошкент шаҳри, Чилонзор тумани, Бунёдкор кўчаси 42/1, 1 қават, 109 офис","Даниел, Госалкер, Василий ",234-56-78 234-31-02  390-09-76 ,,,,,,,,,,,,,Чилонзор тумани,Тошкент шаҳар
652,Амударё хавзаси сув хўжалиги бирлашмаси хўжалик хисобидаги ишлаб чиқариш тижорат корхонаси,,200408688,"Хоразм вилоят Урганч шаҳар Хонқа,154",Исаев Комолиддин ,62-221-51-10 62-787-44-22,,,,,,,,,,,,Хоразм,,рганч шаҳар
653,GENIAL BIZNES GARANT, МЧЖ,302167218,"Тошкент шаҳар М. Улуғбек туман Ўзбекистон овози,21","Бахрам Хўжаев,  Мирзахмедов Тохир"," 233-85-27, 233-27-59, 93-500-53-48",,,,,,,,,,,,, М. Улуғбек,Тошкент шаҳар
654,KARDISE,МЧЖ,202340994,"Тошкент шаҳар Бектемир туман Чирчиқ буйи,16",Николай Пак, 295-50-65 +99893 389-54-39,,,,,,,,,,,,,Бектемир туман,Тошкент шаҳар
655,GAZ REGISTER,ХК,205488784,"Тошкент вилояти Зангиота туман, Хонобод ҚФЙ, Якубов,117",Фозилжон шахидов, 215-43-80 98-363-97-71,,,,,,,,,,,,Тошкент,Зангиота туман,Хонобод ҚФЙ
656,MODERN ANDOZA,ХК,302090860,"Хоразм вилоят Урганч шаҳар, Дўсов,114",Давлатназар Юсупов, 62-515-28-63,,,,,,,,,,,,Хоразм,,Урганч шаҳар
657,VIRSAVIYA-PROJEKT,МЧЖ,207063591,100011. Тошкент шаҳар Юнусабадский район ул. А. Темура д.25,"Марина Солдатова, Дроздов Сергей Олегович,  Алия"," 425-95-96, +99890 170-18-51 ",,,,,,,,,,,,,Юнусабадский,Тошкент шаҳар
658,АBU RAYHON BERUNIY NOMLI TOSHKENT DAVLAT TEXNIKA UNIVERSITETI,ДК,201250751,"Тошкент шаҳар Олмазор туман Университет,2","Анвар Адылходжаев Улугбек Назаров, Равшан",246-04-63 922-00-84 335-82-59 ,,,,,,,,,,,,,Олмазор,Тошкент шаҳар
659,FARG’ONA GARANT LOYIHA,ХК,302215157,"Фарғона вилоят Фарғона шаҳар Қувасой,248",М. Хамдамов, 90-290-07-71,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
660,FARG’ONA FUQARO LOYIHA SERVIS,МЧЖ,302174613,"Фарғона вилоят Фарғона шаҳар Фарғона, 47/31",Пўлат Содиқов ,91-679-00-73,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
661,САРКОР МАДАД РИВОЖ,ХК,301017055,Андижон вилоят Избоскан район Шерматобод ҚФЙ А.Икромов МФЙ Навоий кўчаси,Г. Султанов,94-561-39-98,,,,,,,,,,,,Андижон,Избоскан,Шерматобод ҚФЙ А.Икромов МФЙ
662,SIRIUS LOYIHA QURILISH SERVIS, МЧЖ,302040749,Наманган вилоят Наманган шаҳар Нуробод дахаси-6,Д. Акромов, 69-561-20-95,,,,,,,,,,,,Наманган,,Наманган шаҳар
663,RENDER PRO,МЧЖ,205863943,"Тошкент шаҳар Шайхонтохур туман А. Ходжаева,2",Абдуллаев Г, 150-40-50,,,,,,,,,,,,,Шайхонтохур,Тошкент шаҳар 
664,MAX TRUCK,МЧЖ,302088213,Самарқанд вилоят Оқдарё туман Қоратери ҚФЙ Жўрабой қишлоғи,"Анвар. Захидов, Гулом",71-237-39-01  326-50-07,,,,,,,,,,,,Самарқанд,Оқдарё,Қоратери ҚФЙ Жўрабой қишлоғи
665,PROEKT STROY EKSPERTIZA,МЧЖ,207144554,"Тошкент шаҳар Шайхонтохур туман А. Навоий,44",Тохтахон. Ахмедова ,90-355-25-95 97-775-55-30,,,,,,,,,,,,,Шайхонтохур,Тошкент шаҳар 
666,Синч,кўп тармоқли хусусий фирма,202235680,"Наманган вилоят Наманган шаҳар . КНК кўчаси,48 Навоий кўча 9",Зокиржон Холмирзаев, 91-349-73-40 69-227-12-60,,,,,,,,,,,,Наманган,,Наманган шаҳар
667,ИХТИРО” илмий-тадқиқот ва ишлаб чиқариш,ХФ,200407325,"220106. Хоразм вилоят Урганч шаҳар Ғ. Ғулом,3",У. Мухаммадиев ,226-64-40 93-280-43-07,,,,,,,,,,,,Хоразм,,Урганч шаҳар
668,TEXNIK MUHANDISLIK VA GAZ LOYIHA, МЧЖ,302363805,"Бухоро вилоят Бухоро шаҳар Мустақиллик,6",Фазлиддин Козимов, 98-774-32-42,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
669,GLAMUR GAZ DIZAYN,ХК,207158006,"Тошкент шаҳар, София,18",Наргиза Абдуллаева, 234-29-01 90-328-35-78 134-02-01,,,,,,,,,,,,,,Тошкент шаҳар
670,ARXITEKTURA-DIZAYN PROEKT,ШК,302376338,"Тошкент шаҳар, Учтепа туман, 24-мавзе",Хикматуллаев Рустам, 233-71-91 98-305-47-47 218-74-94    ,,,,,,,,,,,,,чтепа туман,Тошкент шаҳар
671,GAMMA EXPERT,МЧЖ,207137790,"Тошкент шаҳар, Миробод туман, Норходжаев,166",Фарход Тойиров ,329-70-70 ,,,,,,,,,,,,,Миробод,Тошкент шаҳар
672,UNIVERSAL PROEKT-SMETA,МЧЖ,302353682,"Қорақолпағистон Республикаси, Нукус шаҳар Гарезсизлик,65",Ботир Дауимов Мухамметдинович, +99893 614-68-27,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
673,SVVAZ-GRAND PROEKT,МЧЖ,207158544,"100011. Тошкент шаҳар. Навоий,7",Сайфуллаев Бехзод,,,,,,,,,,,,,,,Тошкент шаҳар
674,EAST-WEST ENGINEERING,МЧЖ,207121979,"100084. Тошкент шаҳар, Юнусобод туман, А.Темур,107",Ишмурадов Акбар Асадиллаевич, 90-968-94-97 93-588-25-63 238-94-97 238-94-98 ф,,,,,,,,,,,,,Юнусобод,Тошкент шаҳар
675,OQTOSH LOYIHA, ХК,302386239,"Қашқадарё вилоят, Яккабоғ шаҳар, А.Темур,71 ",Ашуров Илхом ,91-473-39-55 +99891 9652004,,,,,,,,,,,,Қашқадарё,,Яккабоғ шаҳар
676,DARGAHI MAVLANA,МЧЖ,207153274,"Тошкент шаҳар. Олмазор туман, Заркайнар,1",О. Исломходжаев," 150-81-00, 150-91-00",,,,,,,,,,,,,Олмазор,Тошкент шаҳар
677,SUV TA’MINOTI,МЧЖ,201221644,"Андижон вилоят Андижон шаҳар, Чинобод,14",С. Қурбонов, 90-253-42-49,,,,,,,,,,,,Андижон,,Андижон шаҳар
678,GULISTON NAMUNALI LOYIHA,МЧЖ,302425710,"Сирдарё вилоят, Гулистон шаҳар. Халқлар дўстлиги, 30",Шухрат Турдиалиевич Тўрақулов, +99897 494-22-07,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
679,NASAF MAXSUS SUV QURILISH TA’MIRSOZLASH,МЧЖ,302376646,"Қашқадарё вилоят Қарши шаҳар, А. Пардаев,8/2",А. Имомназаров, 75-226-29-11 94-295-44-55,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
680,BUNYODKOR QURILISH LOYIHA, МЧЖ,302357700,Фарғона вилоят Қўқон  шаҳар,Г. Атаджанов, 8-590-372-44-41,,,,,,,,,,,,Фарғона,,Қўқон  шаҳар
681,ZARBULOQ INJINIRING,МЧЖ,301652596,"Тошкент шаҳар, Уста-Ширин,21",З. Каримов,244-28-97,,,,,,,,,,,,,,Тошкент шаҳар
682,BAXTIBAY NUKUS, МЧЖ,302133061,"Қорақолпағистон Республикаси, Нукус шаҳар, К. Мамбетназаров,11",Б. Ембергенов, 90-574-33-85,,,,,,,,,,,,Қорақолпағистон Республикаси,,"Нукус шаҳар,"
683,ЖАЙХУН АВЕСТО,ХК,301271572,"Хоразм вилоят Урганч шаҳар, Тошкент,63",Полвон Салаев ,62-225-26-29 94-231-54-54,,,,,,,,,,,,Хоразм,,Урганч шаҳар
684,DJIZAK PIRAMIDE CONSTRUCTION,МЧЖ,302018647,"130100. Жиззах вилоят, Жиззах шаҳар, Ш.Рашидов,63",Абдуалим Ахмедов, 93-300-08-85 91-194-77-37,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
685,ELEKTROIZOLIT,МЧЖ шаклидаги ҚК,202315304,"Тошкент шаҳар, Чилонзор-26, Шайхзода 3 “Б”",Шевченко В.П., 252-58-41 252-58-91,,,,,,,,,,,,,,Тошкент шаҳар
686,AVTOYOL TARAQQIYOTI,МЧЖ,200909396,"100060. Тошкент шаҳар, А.Темур,20",И. Содиқов ,215-53-91 215-53-65,,,,,,,,,,,,,,Тошкент шаҳар
687,ФАРГОНА ИСТИКЛОЛ ЖАВОХИРИ, МЧЖ,301315817,"Фарғона вилоят, Фарғона шаҳар, Ал-Фарғоний,64",О. Ахмадалиев ,99891 118-19-72,,,,,,,,,,,,,,Тошкент шаҳар
688,ENERGYCON, МЧЖ,301304054,"100125. Тошкент шаҳар, У. Носир,45",Р. Дуржанов, 95-199-82-80,,,,,,,,,,,,,,Тошкент шаҳар
689,“G’IJDUVON QURILISH LOYIHA, МЧЖ,302401037,"Бухоро вилоят Ғиждувон туман Й.Хамадоний, 178",Бехзод Рузиев ,91—411-22-21,,,,,,,,,,,,Бухоро, Ғиждувон,
690,LOYIHA QURILISH ME`YOR,хусусий корхона,301690455,170 100 Андижон шахар Х.Хакимзода кучаси 18-уй,Арзикулов Хаким Абдухалилович, 90 303 77 37,,,,,,,,,,,,,,Андижон шахар
691,GEO-PROEKT,МЧЖ,207168420,"100000.Тошкент шаҳар Мустақиллик  шоҳ кўчаси,68 Чилонзор тумани, Гузал, 1 уй",Тулқин Қорабоев ,98-367-15-07,,,,,,,,,,,,,,Тошкент шаҳар 
692,"HSNK ENGINEERING GROUP, POLARIS PROJECT",МЧЖ,207164086,"Тошкент шаҳар Миробод туман, Афросиёб,14 ",Ефимов Евгений Юрьевич,256-01-78,,,,,,,,,,,,,Миробод,Тошкент шаҳар 
693,PERFECT PROJECT,МЧЖ,302414305,"Тошкент шаҳар,  Шайхонтохур туман, А.Навоий,30",Ибрагимов Камолиддин Шакирович ,+99893 574-86-86,,,,,,,,,,,,,Шайхонтохур,Тошкент шаҳар
694,“YO’L LOYIHA GULISTON,МЧЖ,302464949,"Сирдарё вилоят, Гулистон шаҳар, Тошкент,3",Н. Исокджонов,,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
695,BINO INSHOOT TAFTISH LOYIHA,ХК,207171885,"Тошкент шаҳар, Самарканд дарвоза,80",М. Ильхамов,,,,,,,,,,,,,,,Тошкент шаҳар
696,SOUTHERNROADTRANSPROEKT,МЧЖ,301510203,"Тошкент шаҳри, Чилонзор тумани, Бунёдкор Шох кўчаси, 28-уй ",Абузяров, +99893 799-21-01 276-20-52 факс Transproekt2013@mail.ru,,,,,,,,,,,,,Чилонзор,Тошкент шаҳар
697,XIMAVTOMATIKA, МЧЖ,200941540,"100000. Тошкент шахар, Ниёзбек йули,1",Ф. Адилов,,,,,,,,,,,,,,,Тошкент шаҳар
698,NAFIS LOYIHA,МЧЖ,7119679,"Тошкент шаҳар,  Олмазор туман, Лангар кучаси, Саркор,17",С. Касымходжаев,,,,,,,,,,,,,,Олмазор,Тошкент шаҳар
699,VODIY FUQARO LOYIHA, МЧЖ,302498709,"Фарғона вилоят, Фарғона шаҳар,  Фарғона,82",Б. Рахматуллаев,,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
700,Зокиржонова Севинч,ХК,300907673,"Қашқадарё вилоят, Қарши туман, Бешкент шаҳар, Низами,14",Б. Хазратқулов,,,,,,,,,,,,,Қашқадарё,Қарши, Бешкент шаҳар
701,AKVA TEXNOLOG,МЧЖ,204189666,"140147. Самарқанд вилоят, Самарканд шаҳар, Профессоркая,51",А. Соатов, 98-273-11-11,,,,,,,,,,,,Самарқанд,,Самарканд шаҳар
702,DAVR GAZ SERVIS,МЧЖ,207175469,"Тошкент вилоят,Қибрай туман, Қибрай шаҳарча МФЙ, Зебунисо,12",Б. Зуфарова,,,,,,,,,,,,,Тошкент,Қибрай туман,Қибрай шаҳарча МФЙ
703,NAZAR, МЧЖ,202341764,"Наманган вилоят, Косонсой туман, Тергачи ҚФЙ, Ш. Отақулова,5",Мумин Коратолов ,98-772-42-40,,,,,,,,,,,,Наманган,Косонсой,Тергачи ҚФЙ
704,MODERN ROAD PROJECT,МЧЖ,302525436,"Тошкент вилоят, Оққўрғон туман, Оққўрғон шаҳри,       А. Навоий,1",М. Эргашев,,,,,,,,,,,,,Тошкент,Оққўрғон,Оққўрғон шаҳар
705,ARXITEKTURA YO’L LOYIHA,МЧЖ,302593890,"Тошкен шаҳри, Ш. Рустевелли кўчаси, 100",Давлатов,,,,,,,,,,,,,,,Тошкент шаҳар
706,STIL NAVOIY,МЧЖ,302187414,"Навоий вилоят, Навоий шаҳар,  Халқлар дўстлиги,107а-27",Х. Уралов,,,,,,,,,,,,,Навоий,,Навоий шаҳар
707,SHAHARNURSISTEMA,МЧЖ,205786944,"Тошкент шаҳар, Қумариқ, 3",,,,,,,,,,,,,,,,Тошкент шаҳар
708,SHARQEVROPROEKT,МЧЖ,200718397,"Самарқанд вилояти Самарқанд шаҳар. М. Улуғбек кўчаси, 35а",Маҳмадиёров Ҳошим ,+998911876156,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
709,XORAZM LOYIHA INVEST,МЧЖ,302562526,"Хоразм вилояти, Урганч шаҳар. Наманган кўчаси, 15-уй, 3-хона",Батиров Л. Н.  ,+998914233545,,,,,,,,,,,,Хоразм,,Урганч шаҳар
710,XORAZM MAXSUS TARMOQ LOYIHA QURILISH,МЧЖ,301805586,"Хоразм вилояти, Янгиариқ тумани,  Р. Атаджанова, 20-уй ",Юсупов С.Н. ,+998942363838,,,,,,,,,,,,Хоразм,Янгиариқ,
711,AVTOGAZTEXNO PROEKT,МЧЖ,301126498,"100000, Тошкент шаҳар. Юнусобод тумани, Осиё, 6",Оманов В. ,250-63-43,,,,,,,,,,,,,Юнусобод,Тошкент шаҳар
712,FARG’ONA SINCH LOYIHA,МЧЖ,302623282,"Фарғона вилояти, Фарғона шаҳар. Сайилгоҳ, 9",Хаминов Б.,,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
713,SOFT PROJECT SYSTEMS,МЧЖ,301242315,"100135, Тошкент шаҳар, Чилонзор тумани, Сугали ота, 3",Абдужамилов Б. ,+99890175-13-98,,,,,,,,,,,,,Чилонзор,Тошкент шаҳар
714,“ELECTRO ENGINEERING,МЧЖ,302301271,"Тошкент ш. Таллимаржон кўчаси, 1",Багирова Ш.," 291-27-31, 291-10-83",,,,,,,,,,,,,,Тошкент шаҳар
715,OQOVA SUV LOYIHA,МЧЖ,207172741,"Тошкент ш. Олой кўчаси, 23",Ташмухамедов Х. ,,,,,,,,,,,,,,,Тошкент шаҳар
716,DANADI-SERVIS,МЧЖ,205179306,"Тошкент ш. Миробод т. Нукус кўч., 89",Гультураева З. ,"281-60-01, 281-60-02 ф.",,,,,,,,,,,,,Миробод,Тошкент шаҳар
717,BINOKOR LOYIHA,ХК,302641854,"Андижон вил. Олтинкўл тумени, Оразий қ.ф.й. “Orion trans servis” ММПТ биноси",Асқаров Д. ,,,,,,,,,,,,,Андижон,Олтинкўл,Оразий қ.ф.й
718,OBOD YO’L QURILISH TA’MIR,МЧЖ,302174992,"Қашқадарё вил. Қарши тумани,Нукработ қ.ф.й. Нукработ қ-қ",Қулмирзаев И,,,,,,,,,,,,,Қашқадарё,Қарши,Нукработ қ.ф.й. Нукработ қ-қ
719,Energy Building Consulting,МЧЖ,207189213,"Тошкент ш. Мирабод т. Сайхун кўч., 164",Авраменко Р., 283-41-52,,,,,,,,,,,,,Мирабод,Тошкент шаҳар
720,SILVER EAGLE VECTOR,МЧЖ,207157481,"Тошкент ш. Бошлиқ мавзеси, 25-уй, 1-хонадон",Саримсаков Ш ,+99893 396-44-95.,,,,,,,,,,,,,,Тошкент шаҳар
721,AZIZ PROEKT PLAN,МЧЖ,302639720,"Самарқанд вилояти, Самарқанд ш. Бустонсарой кўчаси, 80-А",Бокиев Н. ,601-80-80 (366) 231-11-56,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
722,STANDART GAZ LOYIHA,МЧЖ,302533134,Наманган вил. Наманган ш. А.Навоий кўч. 39,Жанабаева С. ,+99869 226-24-85 +99891 360-71-00 +99890 218-38-40,,,,,,,,,,,,Наманган,,Наманган шаҳар
723,MIRZACHO’L AGRO QURILISH LOYIHA,МЧЖ,302582802,"Сирдарё вилояти, Гулистон ш. Мустақиллик кўч., 38/18",Файзуллаев Д. ,+99891 621-41-39,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
724,ARCHI CUBE,МЧЖ,302643844,Самарқанд вил. Самарқанд ш. Мир Саид Барака кўч. 39,Тиляев П.Ф. ,,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
725,SIRDARYO GEO LOYIHA,МЧЖ,302655084,"Сирдарё вилояти, Гулистон ш. Мустақиллик кўч., 35",Аккулов А. ,,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
726,ҚЎҚОН ЭЛЕКТР НУР ЖАХОН,МЖ,206672738,"Фарғона вилояти, Қўқон шахар, А.Т. Хуқандий кўч. 130",Каюмов Ш. ,8 373 553-50-96 8 590 556-03-86,,,,,,,,,,,,Фарғона,,Қўқон шахар
727,СИРДАРЕСАВДОКУРИЛИШЛОЙИХА,МЧЖ,301092391,"Сирдарё вилояти, Гулистон ш. А. Навоий кўчаси, 46/104",Эмил. С. Раджабов, +99895 510-38-88 8367 225-55-88 +99890 255-22-88,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
728,GIDRAVLIKA UNIVERSAL, МЧЖ,302685752,"Самарқанж вилояти, Самарқанд шахри, Буюк Инпак йўли кўчаси, 10 “А” ",Мардонов И. ,8 595 744-90-55 8 594 288-00-25,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
729,"EVRO TEZKOR QURILISH,SALOVAT SIFAT LOYIHA",МЧЖ,302575841,"Сурхондарё вилояти, Термиз шахар, Тарққиёт кўчаси, 42",Бабалов Х.Т., 8 591 583-23-03 +998937656492,,,,,,,,,,,,Сурхондарё,,Термиз шахар
730,TELEKOM BUILDING,МЧЖ,206344639,"Тошкент ш. Темур Малик кўчаси, 2-а уй",Усманов О.К. ,120-73-30,,,,,,,,,,,,,,Тошкент шаҳар
731,MONOLIT ARXITEKTURA,ООО,302601698,"Бухоро вилояти, Бухоро шахри, О. Эшонов кўчаси, 5-уй",Э. Асроров ,8 365 223-69-72 +998936558276,,,,,,,,,,,,Бухоро,,Бухоро шахар
732,PROMSTROYENRGOPROEKT,OOO ,200663776,"Тошкент шахри, Бектемир тумани, Б. Нозим кўчаси 28",М.Ч. Аламанов ,295-82-47 295-82-48ф,,,,,,,,,,,,,Бектемир,Тошкент шаҳар
733,ME'MOR SUV LOYIHA,OOO,302681781,"Бухоро вилояти, Бухоро шахри, Халқлар дўстлики кўчаси,      13-уй",Хайитов Ж.З. ,+99893 960-79-98,,,,,,,,,,,,Бухоро,,Бухоро шахри
